jogadores/licenca,jogadores/nome,jogadores/short_name,jogadores/fotografia,jogadores/posicaotatica,jogadores/pais,jogadores/equipa,jogadores/logotipo,jogadores/skoy_id_jogador,jogadores/shirtNumber,jogadores/nomeEquipa,jogadores/idEpoca,jogadores/epoca,jogadores/idClube,jogadores/nomeClube,jogadores/siglaClube,jogadores/idAssociacao,jogadores/associacao,jogadores/dataNascimento,jogadores/genero,jogadores/altura,jogadores/peso,jogadores/foto_acao,jogadores/facebook,jogadores/instagram,jogadores/twitter
169338,Pedro Baptista Oliveira,Pedro Oliveira,https://sav2.fpb.pt/uploads/utilizadores/97906_1663858774.png,BASE,Portugal,A.D.O. Basquetebol da Associação Desportiva Ovarense,https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png,0,21,Ovarense GAVEX ,60,2021/2022,12,A.D.O. Basquetebol da Associação Desportiva Ovarense,OVA,3,Associação de Basquetebol de Aveiro,1997-02-26,M,180,73,https://sav2.fpb.pt/uploads/utilizadores/foto_acao169338_1668202834.jpg,,,
111676,Pedro Filipe Vaz Catarino,Pedro Catarino,https://sav2.fpb.pt/uploads/utilizadores/33954_1663796816.png,,Portugal,União Desportiva Oliveirense,https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png,0,21,UD Oliveirense ,60,2021/2022,28,União Desportiva Oliveirense,UDO,3,Associação de Basquetebol de Aveiro,1990-10-20,M,186,0,,,,
173200,Pedro Lascasas Pinto,Pedro Pinto,https://sav2.fpb.pt/uploads/utilizadores/101319_1663801595.png,,Portugal,A.D.O. Basquetebol da Associação Desportiva Ovarense,https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png,0,88,Ovarense GAVEX ,60,2021/2022,12,A.D.O. Basquetebol da Associação Desportiva Ovarense,OVA,3,Associação de Basquetebol de Aveiro,1997-12-01,M,192,0,,,,
188613,Pedro Mateus da Silva Margalho,Pedro Margalho,https://sav2.fpb.pt/uploads/utilizadores/115838_1665741354.png,,Portugal,Associação Académica de Coimbra,https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png,0,4,Académica EFAPEL ,60,2021/2022,39,Associação Académica de Coimbra,AAC,8,Associação de Basquetebol de Coimbra,2002-03-08,M,185,0,,,,
85854,Pedro Miguel Santos Pinto,Pedro Pinto,https://sav2.fpb.pt/uploads/utilizadores/17034_1663691082.png,BASE / EXTREMO,Portugal,Illiabum Clube ,https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png,0,6,Illiabum Clube ,60,2021/2022,22,Illiabum Clube ,ILL,3,Associação de Basquetebol de Aveiro,1988-03-05,M,188,91,,,,
200019,Rafael Flores Costa,Rafael Costa,https://sav2.fpb.pt/uploads/utilizadores/127698_1663798521.png,,Portugal,Clube Desportivo da Póvoa,https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg,0,21,CD Póvoa ESC Online ,60,2021/2022,118,Clube Desportivo da Póvoa,CDP,4,Associação de Basquetebol do Porto,2001-09-28,M,179,0,,,,
272929,Rashard Marque Odomes,Rashard Odomes,https://sav2.fpb.pt/uploads/utilizadores/223589_1631022152.png,,Estados Unidos da América,Futebol Clube do Porto,https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png,0,1,FC Porto ,60,2021/2022,120,Futebol Clube do Porto,FCP,4,Associação de Basquetebol do Porto,1996-12-21,M,1,0,https://sav2.fpb.pt/uploads/utilizadores/foto_acao272929_1644790049.jpg,,,
235831,Raven Louis Barber,Raven Barber,https://sav2.fpb.pt/uploads/utilizadores/163859_1648825603.png,,Estados Unidos da América,União Desportiva Oliveirense,https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png,0,35,UD Oliveirense ,60,2021/2022,28,União Desportiva Oliveirense,UDO,3,Associação de Basquetebol de Aveiro,1991-10-02,M,0,0,,,,
140327,Renato Alexandre Moreira Azevedo,Renato Azevedo,https://sav2.fpb.pt/uploads/utilizadores/60347_1634635953.png,EXTREMO,Portugal,União Desportiva Oliveirense,https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png,0,10,UD Oliveirense ,60,2021/2022,28,União Desportiva Oliveirense,UDO,3,Associação de Basquetebol de Aveiro,1991-08-01,M,187,0,https://sav2.fpb.pt/uploads/utilizadores/foto_acao140327_1602245052.jpg,,,
209673,Ricardo Bernardo Dias Monteiro,Ricardo Monteiro,https://sav2.fpb.pt/uploads/utilizadores/137128_1662817786.png,POSTE,Portugal,União Desportiva Oliveirense,https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png,0,3,UD Oliveirense ,60,2021/2022,28,União Desportiva Oliveirense,UDO,3,Associação de Basquetebol de Aveiro,1997-02-13,M,208,106,,,,
279560,Roddy Troy PetersJr,Roddy PetersJr,https://sav2.fpb.pt/uploads/utilizadores/231039_1643038903.png,,Estados Unidos da América,Imortal Basket Club,https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png,0,5,Imortal LUZiGÁS ,60,2021/2022,2932,Imortal Basket Club,IBC,9,Associação de Basquetebol do Algarve ,1995-07-14,M,0,0,,,,
184458,Rodrigo Tobias Simões Rebelo Soeiro,Rodrigo Soeiro,https://sav2.fpb.pt/uploads/utilizadores/113228_1663801650.png,,Portugal,A.D.O. Basquetebol da Associação Desportiva Ovarense,https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png,0,13,Ovarense GAVEX ,60,2021/2022,12,A.D.O. Basquetebol da Associação Desportiva Ovarense,OVA,3,Associação de Basquetebol de Aveiro,1996-12-20,M,190,0,,,,
205486,Rúben André Monteiro Sona,Rúben Sona,https://sav2.fpb.pt/uploads/utilizadores/134581_1663801687.png,,Portugal,A.D.O. Basquetebol da Associação Desportiva Ovarense,https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png,0,30,Ovarense Sub23 ,60,2021/2022,12,A.D.O. Basquetebol da Associação Desportiva Ovarense,OVA,3,Associação de Basquetebol de Aveiro,2004-05-21,M,184,0,,,,
237485,Rui Carlos Jesus Oliveira da Costa Fernandes,Rui Fernandes,https://sav2.fpb.pt/uploads/utilizadores/165497_1632674092.png,,Portugal,Vitória Sport Clube,https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png,0,15,Vitória SC ,60,2021/2022,2300,Vitória Sport Clube,VSC,5,Associação de Basquetebol de Braga,2002-06-07,M,195,95,,,,
145055,Rui Eduardo Fernandes Coelho,Rui Coelho,https://sav2.fpb.pt/uploads/utilizadores/82508_1663930425.png,,Portugal,Clube Desportivo da Póvoa,https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg,0,24,CD Póvoa ESC Online ,60,2021/2022,118,Clube Desportivo da Póvoa,CDP,4,Associação de Basquetebol do Porto,1989-11-09,M,191,0,,,,
125990,Rui Jorge dos Santos Silva França,Rui França,https://sav2.fpb.pt/uploads/utilizadores/48683_1634636016.png,,Portugal,União Desportiva Oliveirense,https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png,0,11,UD Oliveirense ,60,2021/2022,28,União Desportiva Oliveirense,UDO,3,Associação de Basquetebol de Aveiro,1989-06-26,M,185,0,,,,
102320,Rui Miguel Freire Quintino,Rui Quintino,https://sav2.fpb.pt/uploads/utilizadores/30995_1663877292.png,EXTREMO,Portugal,Imortal Basket Club,https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png,0,15,Imortal LUZiGÁS ,60,2021/2022,2932,Imortal Basket Club,IBC,9,Associação de Basquetebol do Algarve ,1983-10-20,M,196,92,,,,
201195,Salvador Magalhães Cardoso Caldeira,Salvador Caldeira,https://sav2.fpb.pt/uploads/utilizadores/129854_1666624056.png,,Portugal,Illiabum Clube ,https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png,0,44,Illiabum Clube ,60,2021/2022,22,Illiabum Clube ,ILL,3,Associação de Basquetebol de Aveiro,2003-03-18,M,190,0,,,,
